instrument,split,side,entry_time,exit_time,result_r,exit_reason,bars_held,mfe_status,mfe_r,mae_r,reached_plus_0_25r,reached_plus_0_5r,reached_plus_1_0r,touched_minus_0_5r,touched_minus_0_9r,bars_to_exit,open_at_h2,reached_plus_025_h2,reached_plus_05_h2,mae_by_h2,no_continuation_h2,early_favorable_displacement_h2,early_adverse_expansion_h2,early_retest_hold_h2,early_reclaim_failure_h2,range_compression_after_entry_h2,open_at_h4,reached_plus_025_h4,reached_plus_05_h4,mae_by_h4,no_continuation_h4,early_favorable_displacement_h4,early_adverse_expansion_h4,early_retest_hold_h4,early_reclaim_failure_h4,range_compression_after_entry_h4,open_at_h8,reached_plus_025_h8,reached_plus_05_h8,mae_by_h8,no_continuation_h8,early_favorable_displacement_h8,early_adverse_expansion_h8,early_retest_hold_h8,early_reclaim_failure_h8,range_compression_after_entry_h8,open_at_h16,reached_plus_025_h16,reached_plus_05_h16,mae_by_h16,no_continuation_h16,early_favorable_displacement_h16,early_adverse_expansion_h16,early_retest_hold_h16,early_reclaim_failure_h16,range_compression_after_entry_h16,trap_or_failed_breakout,time_to_first_plus_025,time_to_first_plus_05,time_to_first_plus_10,time_to_first_minus_025,time_to_first_minus_05,time_to_first_minus_09,profitable_trade,survived_to_time_exit,hard_stop_loss,clean_winner,straight_to_stop
USD_JPY,validation,short,2024-03-11T15:30:00+00:00,2024-03-11T23:45:00+00:00,0.0031912682441426,time_stop,32,OK,0.578732,-0.803681,True,True,False,True,False,31,True,False,False,-0.296524,True,False,False,True,True,True,True,False,False,-0.337423,True,False,False,True,True,True,True,True,False,-0.337423,False,True,False,True,True,True,True,True,False,-0.803681,False,False,False,True,True,False,True,6.0,29.0,,1.0,11.0,,True,True,False,False,False
USD_JPY,validation,short,2024-03-14T01:00:00+00:00,2024-03-14T02:15:00+00:00,-0.0067678688657728,hard_stop,6,OK,0.089385,-1.162011,False,False,False,True,True,5,True,False,False,-0.759777,True,False,True,True,True,True,True,False,False,-0.815642,True,False,True,True,True,True,False,False,False,-1.162011,True,False,True,True,True,False,False,False,False,-1.162011,True,False,True,True,True,False,True,,,,1.0,2.0,5.0,False,False,True,False,True
USD_JPY,validation,long,2024-03-15T07:30:00+00:00,2024-03-15T15:15:00+00:00,0.0189445158403581,time_stop,32,OK,3.279188,-0.177665,True,True,True,False,False,31,True,True,True,-0.177665,False,True,False,True,False,False,True,True,True,-0.177665,False,True,False,True,False,False,True,True,True,-0.177665,False,True,False,True,False,False,True,True,True,-0.177665,False,True,False,True,True,False,False,1.0,1.0,2.0,,,,True,True,False,True,False
USD_JPY,validation,long,2024-03-18T19:45:00+00:00,2024-03-19T03:30:00+00:00,-0.0067109139593721,hard_stop,27,OK,4.649231,-1.055385,True,True,True,True,True,26,True,False,False,-0.095385,True,False,False,True,False,True,True,False,False,-0.544615,True,False,True,True,True,True,True,False,False,-0.870769,True,False,True,True,True,False,True,True,True,-0.870769,False,False,True,True,True,False,False,14.0,16.0,16.0,4.0,4.0,26.0,False,False,True,False,False
USD_JPY,validation,long,2024-03-21T04:30:00+00:00,2024-03-21T12:15:00+00:00,0.0111601598842073,time_stop,32,OK,2.962894,0.09833,True,True,True,False,False,31,True,True,True,0.09833,False,True,False,False,False,True,True,True,True,0.09833,False,True,False,False,False,True,True,True,True,0.09833,False,True,False,False,False,False,True,True,True,0.09833,False,True,False,False,False,False,False,1.0,1.0,5.0,,,,True,True,False,True,False
USD_JPY,validation,long,2024-03-22T03:00:00+00:00,2024-03-22T06:15:00+00:00,-0.006604191019621,hard_stop,14,OK,0.028825,-1.093126,False,False,False,True,True,13,True,False,False,-0.578714,True,False,True,False,True,True,True,False,False,-0.605322,True,False,True,False,True,True,True,False,False,-0.649667,True,False,True,True,True,True,False,False,False,-1.093126,True,False,True,True,True,False,True,,,,1.0,1.0,13.0,False,False,True,False,True
USD_JPY,validation,long,2024-03-22T08:30:00+00:00,2024-03-22T12:00:00+00:00,-0.0066106524052858,hard_stop,15,OK,0.719457,-1.036199,True,True,False,True,True,14,True,True,False,-0.208145,False,True,False,True,False,True,True,True,True,-0.253394,False,True,False,True,False,True,True,True,True,-0.253394,False,True,False,True,False,False,False,True,True,-1.036199,False,False,False,True,True,False,False,2.0,4.0,,3.0,14.0,14.0,False,False,True,False,False
USD_JPY,validation,long,2024-03-22T15:45:00+00:00,2024-03-25T00:45:00+00:00,-0.0007725357696936,time_stop,32,OK,0.576994,-0.914657,True,True,False,True,True,31,True,True,False,0.009276,False,True,False,False,False,True,True,True,False,0.009276,False,True,False,True,False,True,True,True,False,0.009276,False,True,False,True,False,True,True,True,True,0.009276,False,True,False,True,False,True,False,2.0,13.0,,24.0,24.0,24.0,False,True,False,False,False
USD_JPY,validation,long,2024-04-11T14:00:00+00:00,2024-04-11T22:45:00+00:00,0.0018035631661019,time_stop,32,OK,0.677932,-0.240557,True,True,False,False,False,31,True,True,True,0.06163,False,True,False,False,False,True,True,True,True,0.06163,False,True,False,False,False,True,True,True,True,0.06163,False,True,False,True,False,True,True,True,True,-0.240557,False,True,False,True,True,False,False,1.0,2.0,,,,,True,True,False,True,False
USD_JPY,validation,long,2024-04-12T15:15:00+00:00,2024-04-15T00:00:00+00:00,0.0061371141010686,time_stop,32,OK,1.107209,-0.001848,True,True,True,False,False,31,True,True,False,0.027726,False,True,False,True,False,True,True,True,False,0.027726,False,True,False,True,False,True,True,True,False,-0.001848,False,True,False,True,False,True,True,True,True,-0.001848,False,True,False,True,False,True,False,1.0,12.0,22.0,,,,True,True,False,True,False
